ds_name,method,noise_type,noise_level,random_state,percentile,accuracy
digits,aum,uniform,0.0,42,0.0,0.9649415692821368
digits,aum,uniform,0.0,42,0.0025,0.9571508069003896
digits,aum,uniform,0.0,42,0.005,0.9643850862548692
digits,aum,uniform,0.0,42,0.0075,0.9616026711185308
digits,aum,uniform,0.0,42,0.01,0.9616026711185308
digits,aum,uniform,0.0,42,0.0125,0.9593767390094602
digits,aum,uniform,0.0,42,0.015,0.9571508069003896
digits,aum,uniform,0.0,42,0.0175,0.9604897050639956
digits,aum,uniform,0.0,42,0.02,0.9604897050639956
digits,aum,uniform,0.0,42,0.0225,0.9560378408458542
digits,aum,uniform,0.0,42,0.025,0.9577072899276572
digits,aum,uniform,0.0,42,0.0275,0.9554813578185866
digits,aum,uniform,0.0,42,0.03,0.9538119087367836
digits,aum,uniform,0.0,42,0.0325,0.9510294936004452
digits,aum,uniform,0.0,42,0.035,0.9593767390094602
digits,aum,uniform,0.0,42,0.0375,0.9565943238731218
digits,aum,uniform,0.0,42,0.04,0.9582637729549248
digits,aum,uniform,0.0,42,0.0425,0.9554813578185866
digits,aum,uniform,0.0,42,0.045,0.9543683917640512
digits,aum,uniform,0.0,42,0.0475,0.9526989426822482
digits,aum,uniform,0.0,42,0.05,0.9538119087367836
digits,cross_val,uniform,0.0,42,0.0,0.9649415692821368
digits,cross_val,uniform,0.0,42,0.0025,0.9610461880912632
digits,cross_val,uniform,0.0,42,0.005,0.9560378408458542
digits,cross_val,uniform,0.0,42,0.0075,0.9577072899276572
digits,cross_val,uniform,0.0,42,0.01,0.9654980523094046
digits,cross_val,uniform,0.0,42,0.0125,0.963272120200334
digits,cross_val,uniform,0.0,42,0.015,0.9593767390094602
digits,cross_val,uniform,0.0,42,0.0175,0.959933222036728
digits,cross_val,uniform,0.0,42,0.02,0.9560378408458542
digits,cross_val,uniform,0.0,42,0.0225,0.9582637729549248
digits,cross_val,uniform,0.0,42,0.025,0.9588202559821926
digits,cross_val,uniform,0.0,42,0.0275,0.9538119087367836
digits,cross_val,uniform,0.0,42,0.03,0.9627156371730662
digits,cross_val,uniform,0.0,42,0.0325,0.9593767390094602
digits,cross_val,uniform,0.0,42,0.035,0.9565943238731218
digits,cross_val,uniform,0.0,42,0.0375,0.9510294936004452
digits,cross_val,uniform,0.0,42,0.04,0.9526989426822482
digits,cross_val,uniform,0.0,42,0.0425,0.9515859766277128
digits,cross_val,uniform,0.0,42,0.045,0.9521424596549806
digits,cross_val,uniform,0.0,42,0.0475,0.9482470784641068
digits,cross_val,uniform,0.0,42,0.05,0.9582637729549248
digits,random,uniform,0.0,42,0.0,0.9649415692821368
digits,random,uniform,0.0,42,0.0025,0.96661101836394
digits,random,uniform,0.0,42,0.005,0.9627156371730662
digits,random,uniform,0.0,42,0.0075,0.9593767390094602
digits,random,uniform,0.0,42,0.01,0.9571508069003896
digits,random,uniform,0.0,42,0.0125,0.96661101836394
digits,random,uniform,0.0,42,0.015,0.9643850862548692
digits,random,uniform,0.0,42,0.0175,0.96661101836394
digits,random,uniform,0.0,42,0.02,0.959933222036728
digits,random,uniform,0.0,42,0.0225,0.9638286032276016
digits,random,uniform,0.0,42,0.025,0.963272120200334
digits,random,uniform,0.0,42,0.0275,0.9638286032276016
digits,random,uniform,0.0,42,0.03,0.9638286032276016
digits,random,uniform,0.0,42,0.0325,0.9593767390094602
digits,random,uniform,0.0,42,0.035,0.9627156371730662
digits,random,uniform,0.0,42,0.0375,0.9621591541457986
digits,random,uniform,0.0,42,0.04,0.9593767390094602
digits,random,uniform,0.0,42,0.0425,0.9604897050639956
digits,random,uniform,0.0,42,0.045,0.9577072899276572
digits,random,uniform,0.0,42,0.0475,0.9593767390094602
digits,random,uniform,0.0,42,0.05,0.9604897050639956
spirals,aum,uniform,0.0,42,0.0,0.9933333333333332
spirals,aum,uniform,0.0,42,0.0025,0.9953333333333332
spirals,aum,uniform,0.0,42,0.005,0.9913333333333332
spirals,aum,uniform,0.0,42,0.0075,0.988
spirals,aum,uniform,0.0,42,0.01,0.9853333333333332
spirals,aum,uniform,0.0,42,0.0125,0.988
spirals,aum,uniform,0.0,42,0.015,0.9886666666666668
spirals,aum,uniform,0.0,42,0.0175,0.9846666666666668
spirals,aum,uniform,0.0,42,0.02,0.9906666666666668
spirals,aum,uniform,0.0,42,0.0225,0.982
spirals,aum,uniform,0.0,42,0.025,0.9886666666666668
spirals,aum,uniform,0.0,42,0.0275,0.9846666666666668
spirals,aum,uniform,0.0,42,0.03,0.9866666666666668
spirals,aum,uniform,0.0,42,0.0325,0.986
spirals,aum,uniform,0.0,42,0.035,0.9833333333333332
spirals,aum,uniform,0.0,42,0.0375,0.9786666666666668
spirals,aum,uniform,0.0,42,0.04,0.9686666666666668
spirals,aum,uniform,0.0,42,0.0425,0.974
spirals,aum,uniform,0.0,42,0.045,0.9786666666666668
spirals,aum,uniform,0.0,42,0.0475,0.9733333333333334
spirals,aum,uniform,0.0,42,0.05,0.976
spirals,cross_val,uniform,0.0,42,0.0,0.9933333333333332
spirals,cross_val,uniform,0.0,42,0.0025,0.9946666666666668
spirals,cross_val,uniform,0.0,42,0.005,0.9906666666666668
spirals,cross_val,uniform,0.0,42,0.0075,0.9873333333333332
spirals,cross_val,uniform,0.0,42,0.01,0.9873333333333332
spirals,cross_val,uniform,0.0,42,0.0125,0.9906666666666668
spirals,cross_val,uniform,0.0,42,0.015,0.9893333333333332
spirals,cross_val,uniform,0.0,42,0.0175,0.9853333333333332
spirals,cross_val,uniform,0.0,42,0.02,0.9873333333333332
spirals,cross_val,uniform,0.0,42,0.0225,0.9853333333333332
spirals,cross_val,uniform,0.0,42,0.025,0.9893333333333332
spirals,cross_val,uniform,0.0,42,0.0275,0.9853333333333332
spirals,cross_val,uniform,0.0,42,0.03,0.9853333333333332
spirals,cross_val,uniform,0.0,42,0.0325,0.9873333333333332
spirals,cross_val,uniform,0.0,42,0.035,0.9906666666666668
spirals,cross_val,uniform,0.0,42,0.0375,0.986
spirals,cross_val,uniform,0.0,42,0.04,0.988
